advertiser_id,site_id,clicks,prints,cost,cpc,direct_amount,indirect_amount,total_amount,direct_units_quantity,indirect_units_quantity,units_quantity,direct_items_quantity,indirect_items_quantity,advertising_items_quantity,organic_units_quantity,organic_items_quantity,acos,organic_units_amount,sov,ctr,cvr,roas,date
731958,MLB,249,124520,650.0,2.61,197.0,0.0,197.0,1,0,1,1,0,1,7,7,329.95,1743.0,12.5,0.2,0.4,0.3,2025-10-15
731958,MLB,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-16
731958,MLB,253,137486,580.0,2.29,1170.6,809.55,1980.15,7,3,10,7,3,10,6,6,29.29,2254.0,62.5,0.18,3.95,3.41,2025-10-09
731958,MLB,199,128507,541.66,2.72,2636.1,277.0,2913.1,6,1,7,6,1,7,0,0,18.59,0.0,100.0,0.15,3.52,5.38,2025-10-10
731958,MLB,150,99098,382.37,2.55,4839.8,112.35,4952.15,8,1,9,7,1,8,4,3,7.72,524.0,72.73,0.15,6.0,12.95,2025-10-11
731958,MLB,286,97994,817.0,2.86,1964.25,697.0,2661.25,7,1,8,5,1,6,10,9,30.7,2711.0,40.0,0.29,2.8,3.26,2025-10-12
731958,MLB,271,133037,580.0,2.14,2846.55,595.85,3442.4,4,3,7,4,3,7,8,8,16.85,3723.0,46.67,0.2,2.58,5.94,2025-10-13
731958,MLB,275,141810,580.0,2.11,2817.25,455.7,3272.95,9,1,10,8,1,9,10,10,17.72,3668.0,47.37,0.19,3.64,5.64,2025-10-14
731958,MLB,249,124520,650.0,2.61,197.0,0.0,197.0,1,0,1,1,0,1,7,7,329.95,1743.0,12.5,0.2,0.4,0.3,2025-10-15
731958,MLB,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-16
731958,MLB,253,137486,580.0,2.29,1170.6,809.55,1980.15,7,3,10,7,3,10,6,6,29.29,2254.0,62.5,0.18,3.95,3.41,2025-10-09
731958,MLB,199,128507,541.66,2.72,2636.1,277.0,2913.1,6,1,7,6,1,7,0,0,18.59,0.0,100.0,0.15,3.52,5.38,2025-10-10
731958,MLB,150,99098,382.37,2.55,4839.8,112.35,4952.15,8,1,9,7,1,8,4,3,7.72,524.0,72.73,0.15,6.0,12.95,2025-10-11
731958,MLB,286,97994,817.0,2.86,1964.25,697.0,2661.25,7,1,8,5,1,6,10,9,30.7,2711.0,40.0,0.29,2.8,3.26,2025-10-12
731958,MLB,271,133037,580.0,2.14,2846.55,595.85,3442.4,4,3,7,4,3,7,8,8,16.85,3723.0,46.67,0.2,2.58,5.94,2025-10-13
731958,MLB,275,141810,580.0,2.11,2817.25,455.7,3272.95,9,1,10,8,1,9,10,10,17.72,3668.0,47.37,0.19,3.64,5.64,2025-10-14
731958,MLB,249,124520,650.0,2.61,197.0,0.0,197.0,1,0,1,1,0,1,7,7,329.95,1743.0,12.5,0.2,0.4,0.3,2025-10-15
731958,MLB,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-16
731958,MLB,253,137486,580.0,2.29,1170.6,809.55,1980.15,7,3,10,7,3,10,6,6,29.29,2254.0,62.5,0.18,3.95,3.41,2025-10-09
731958,MLB,199,128507,541.66,2.72,2636.1,277.0,2913.1,6,1,7,6,1,7,0,0,18.59,0.0,100.0,0.15,3.52,5.38,2025-10-10
731958,MLB,150,99098,382.37,2.55,4839.8,112.35,4952.15,8,1,9,7,1,8,4,3,7.72,524.0,72.73,0.15,6.0,12.95,2025-10-11
731958,MLB,286,97994,817.0,2.86,1964.25,697.0,2661.25,7,1,8,5,1,6,10,9,30.7,2711.0,40.0,0.29,2.8,3.26,2025-10-12
731958,MLB,271,133037,580.0,2.14,2846.55,595.85,3442.4,4,3,7,4,3,7,8,8,16.85,3723.0,46.67,0.2,2.58,5.94,2025-10-13
731958,MLB,275,141810,580.0,2.11,2817.25,455.7,3272.95,9,1,10,8,1,9,10,10,17.72,3668.0,47.37,0.19,3.64,5.64,2025-10-14
731958,MLB,249,124520,650.0,2.61,197.0,0.0,197.0,1,0,1,1,0,1,7,7,329.95,1743.0,12.5,0.2,0.4,0.3,2025-10-15
731958,MLB,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-16
